Date,Close/Last,Volume,Open,High,Low
03/25/2021,$10.94,131192800,$8.96,$11.315,$8.95
03/24/2021,$9.02,81850720,$10.82,$11.21,$8.93
03/23/2021,$10.66,87923240,$11.46,$11.93,$10.37
03/22/2021,$12.49,88760140,$13.15,$13.19,$11.76
03/19/2021,$13.93,153206000,$14.14,$14.18,$13.28
03/18/2021,$14,122212300,$14.34,$14.54,$13.57
03/17/2021,$13.56,78053640,$13.24,$13.66,$13
03/16/2021,$13.02,125967600,$13.62,$13.62,$12.34
03/15/2021,$14.04,278969200,$12.18,$14.49,$11.85
03/12/2021,$11.16,111146700,$10.16,$11.4,$9.94
03/11/2021,$10.28,83933590,$10.65,$10.87,$9.9
03/10/2021,$9.85,261918600,$11.02,$12.47,$9.51
03/09/2021,$10.5,150415600,$9.38,$10.77,$9.22
03/08/2021,$9.29,114343800,$8.53,$9.48,$8.31
03/05/2021,$8.05,59734130,$8.08,$8.27,$7.63
03/04/2021,$8.03,77822640,$8.25,$8.59,$7.5
03/03/2021,$8.58,55651870,$8.95,$9.14,$8.5
03/02/2021,$8.93,78135440,$9.14,$9.4,$8.51
03/01/2021,$9.18,143586500,$8.86,$9.445,$8.42
02/26/2021,$8.01,137028000,$8.19,$9.01,$7.6301
02/25/2021,$8.29,445717400,$10.89,$11,$7.85
02/24/2021,$9.09,376881800,$7.23,$9.83,$6.99
02/23/2021,$7.7,264876400,$6.97,$7.86,$6.01
02/22/2021,$6.55,173409000,$5.93,$6.68,$5.75
02/19/2021,$5.7,40249110,$5.54,$5.77,$5.51
02/18/2021,$5.51,130540800,$5.84,$6.25,$5.46
02/17/2021,$5.55,38849050,$5.58,$5.62,$5.32
02/16/2021,$5.65,61165710,$6.03,$6.05,$5.49
02/12/2021,$5.59,46773030,$5.72,$5.97,$5.52
02/11/2021,$5.61,55920390,$5.62,$5.85,$5.47
02/10/2021,$5.8,152810800,$5.71,$6.59,$5.45
02/09/2021,$5.5,102588100,$5.81,$5.81,$5.26
02/08/2021,$6.18,128756000,$6.88,$6.89,$5.75
02/05/2021,$6.83,197097600,$7.17,$8.27,$6.52
02/04/2021,$7.09,162985800,$8.7,$8.74,$7
02/03/2021,$8.97,221405100,$8.85,$9.77,$7.89
02/02/2021,$7.82,462775900,$9.48,$10.1,$6
02/01/2021,$13.3,434608000,$17,$17.25,$12.91
01/29/2021,$13.26,602193300,$14.31,$16,$11.6
01/28/2021,$8.63,591223900,$11.98,$16.5,$6.51
01/27/2021,$19.9,1253254000,$20.34,$20.36,$11.01
01/26/2021,$4.96,456850200,$5.09,$5.19,$4.37
01/25/2021,$4.42,443238100,$4.71,$4.88,$3.85
01/22/2021,$3.51,268273400,$2.91,$3.74,$2.81
01/21/2021,$2.98,64823840,$3,$3.06,$2.85
01/20/2021,$2.97,181862200,$3.29,$3.34,$2.75
01/19/2021,$3.06,256276000,$2.8,$3.2,$2.57
01/15/2021,$2.33,162356400,$2.2,$2.55,$2.18
01/14/2021,$2.18,49638790,$2.22,$2.32,$2.13
01/13/2021,$2.18,45847660,$2.33,$2.38,$2.13
01/12/2021,$2.29,41784330,$2.24,$2.39,$2.235
01/11/2021,$2.2,41695840,$2.16,$2.27,$2.15
01/08/2021,$2.14,39553340,$2.09,$2.211,$2.07
01/07/2021,$2.05,26150490,$2.08,$2.11,$2.02
01/06/2021,$2.01,67363340,$2.03,$2.23,$1.97
01/05/2021,$1.98,28148310,$1.99,$2.03,$1.91
01/04/2021,$2.01,29873800,$2.2,$2.2,$2
